location,size,total_sqft,bath,price,BHK
Kamakshipalya,2 Bedroom,1000.0,2.0,165.0,2.0
Bannerghatta Road,4 Bedroom,1200.0,2.0,125.0,4.0
Rajaji Nagar,3 BHK,2390.0,3.0,410.0,3.0
Rajaji Nagar,7 BHK,12000.0,6.0,2200.0,7.0
Sultan Palaya,2 Bedroom,550.0,1.0,62.0,2.0
Sanne Amanikere,2 BHK,1185.0,2.0,38.0,2.0
Kengeri,2 BHK,750.0,2.0,38.0,2.0
Mahalakshmi Layout,6 Bedroom,1200.0,7.0,250.0,6.0
Kanakpura Road,3 BHK,1550.0,3.0,64.5,3.0
Amco Colony,3 BHK,1760.0,3.0,88.0,3.0
Billekahalli,2 BHK,1125.0,2.0,62.0,2.0
Nagarbhavi,3 Bedroom,1350.0,3.0,150.0,3.0
Anandapura,2 Bedroom,1000.0,2.0,55.0,2.0
Bommasandra Industrial Area,2 BHK,1090.0,2.0,31.48,2.0
TC Palaya,2 Bedroom,1200.0,2.0,60.0,2.0
Budigere,3 BHK,1991.0,4.0,103.0,3.0
Bommasandra,2 BHK,1060.0,2.0,26.5,2.0
Ambalipura,2 BHK,1105.0,2.0,75.0,2.0
Hoodi,2 BHK,985.0,2.0,67.0,2.0
Chandapura,6 Bedroom,1533.0,5.0,85.0,6.0
Balagere,3 BHK,1590.0,3.0,79.0,3.0
CV Raman Nagar,2 BHK,1120.0,2.0,55.0,2.0
Samethanahalli,2 BHK,1069.0,2.0,55.0,2.0
Marathahalli,3 BHK,1933.0,3.0,140.0,3.0
Hosur Road,2 BHK,1194.0,2.0,69.0,2.0
Brookefield,2 BHK,1150.0,2.0,69.0,2.0
Yelenahalli,2 BHK,1240.0,2.0,47.12,2.0
Raja Rajeshwari Nagar,2 BHK,1419.0,2.0,48.1,2.0
7th Phase JP Nagar,8 Bedroom,1200.0,8.0,250.0,8.0
Richmond Town,3 BHK,2150.0,4.0,240.0,3.0
Suddaguntepalya,3 BHK,1450.0,3.0,55.0,3.0
Udayapur Village,3 BHK,1630.0,3.0,68.29,3.0
Dasanapura,2 BHK,708.0,1.0,40.0,2.0
Kasavanhalli,3 Bedroom,1000.0,4.0,110.0,3.0
Whitefield,4 Bedroom,11890.0,4.0,700.0,4.0
Bellandur,2 BHK,1250.0,2.0,76.0,2.0
7th Phase JP Nagar,3 BHK,1400.0,2.0,95.0,3.0
Sarjapur  Road,3 BHK,1670.0,2.0,57.0,3.0
Ardendale,3 BHK,1750.0,3.0,100.0,3.0
