location,size,total_sqft,bath,price,BHK,price_per_sqft
Electronic City,3 BHK,1500.0,2.0,64.5,3.0,4300.0
Electronic City,2 BHK,1060.0,2.0,60.0,2.0,5660.377358490566
Attibele,1 BHK,450.0,1.0,11.0,1.0,2444.4444444444443
Electronic City,2 BHK,1152.0,2.0,64.5,2.0,5598.958333333333
other,3 Bedroom,1500.0,3.0,100.0,3.0,6666.666666666667
Nagavara,1 Bedroom,400.0,1.0,14.0,1.0,3500.0
Malleshwaram,1 BHK,705.0,1.0,67.0,1.0,9503.54609929078
Hulimavu,2 BHK,1242.0,2.0,51.0,2.0,4106.280193236715
Hebbal Kempapura,3 BHK,1700.0,3.0,155.0,3.0,9117.64705882353
Thanisandra,3 BHK,2144.0,3.0,145.0,3.0,6763.059701492537
Vijayanagar,3 BHK,1704.0,3.0,110.0,3.0,6455.399061032864
KR Puram,2 BHK,1277.5,2.0,56.8,2.0,4446.183953033268
Marathahalli,2 BHK,1200.0,2.0,52.0,2.0,4333.333333333333
Pattandur Agrahara,3 BHK,1550.0,2.0,80.0,3.0,5161.290322580645
Marathahalli,2 BHK,1200.0,2.0,60.0,2.0,5000.0
Yelahanka,2 BHK,1327.0,2.0,98.0,2.0,7385.079125847777
Kothanur,2 BHK,1186.0,2.0,58.0,2.0,4890.387858347386
other,3 Bedroom,1783.0,3.0,115.0,3.0,6449.8037016264725
Nagasandra,2 BHK,980.0,2.0,48.0,2.0,4897.959183673469
EPIP Zone,2 BHK,1285.0,2.0,82.0,2.0,6381.322957198444
other,3 BHK,912.0,2.0,70.0,3.0,7675.438596491228
Kogilu,3 BHK,1909.0,3.0,88.0,3.0,4609.743321110529
Panathur,2 BHK,1359.0,2.0,87.0,2.0,6401.766004415011
Kammasandra,3 BHK,1595.0,3.0,65.0,3.0,4075.235109717869
Electronics City Phase 1,3 BHK,1475.0,3.0,78.29,3.0,5307.796610169492
other,3 BHK,1580.0,3.0,100.0,3.0,6329.113924050633
Dasarahalli,2 BHK,1295.0,2.0,65.0,2.0,5019.305019305019
Magadi Road,6 Bedroom,3600.0,6.0,141.0,6.0,3916.6666666666665
Electronic City,1 BHK,589.0,1.0,27.0,1.0,4584.040747028863
other,3 BHK,1415.0,3.0,78.0,3.0,5512.367491166077
Sarjapur  Road,3 BHK,1787.0,3.0,98.29,3.0,5500.279798545048
Sarjapur  Road,3 BHK,1787.0,3.0,125.0,3.0,6994.963626189144
7th Phase JP Nagar,2 BHK,1080.0,2.0,72.0,2.0,6666.666666666667
other,2 Bedroom,1500.0,2.0,115.0,2.0,7666.666666666667
Hebbal,3 BHK,1900.0,3.0,119.0,3.0,6263.1578947368425
Dommasandra,2 BHK,805.0,2.0,22.14,2.0,2750.3105590062114
other,2 BHK,1148.0,2.0,60.0,2.0,5226.480836236934
Kalyan nagar,2 BHK,1290.0,2.0,110.0,2.0,8527.131782945737
Vijayanagar,3 BHK,1933.0,3.0,129.0,3.0,6673.564407656492
Ramamurthy Nagar,5 Bedroom,3500.0,5.0,150.0,5.0,4285.714285714285
other,2 BHK,1060.0,2.0,60.0,2.0,5660.377358490566
Chandapura,1 BHK,645.0,1.0,16.45,1.0,2550.3875968992247
other,8 Bedroom,2600.0,8.0,180.0,8.0,6923.076923076923
Chandapura,1 BHK,645.0,1.0,16.45,1.0,2550.3875968992247
other,3 BHK,1644.0,3.0,84.0,3.0,5109.489051094891
other,2 BHK,1285.0,2.0,72.5,2.0,5642.023346303502
Electronic City,3 Bedroom,1200.0,3.0,90.0,3.0,7500.0
other,3 Bedroom,4050.0,3.0,280.0,3.0,6913.580246913581
OMBR Layout,3 BHK,2420.0,3.0,185.0,3.0,7644.628099173554
other,2 BHK,1060.0,2.0,55.0,2.0,5188.679245283019
7th Phase JP Nagar,2 BHK,1270.0,2.0,93.0,2.0,7322.834645669292
other,2 Bedroom,1280.0,2.0,69.0,2.0,5390.625
Horamavu Agara,4 Bedroom,1200.0,2.0,95.0,4.0,7916.666666666667
Electronic City,2 BHK,1108.0,2.0,63.0,2.0,5685.9205776173285
other,3 BHK,3045.0,3.0,170.0,3.0,5582.922824302134
Raja Rajeshwari Nagar,2 BHK,1295.0,2.0,43.9,2.0,3389.96138996139
Budigere,2 BHK,1162.0,2.0,59.9,2.0,5154.905335628228
Kalena Agrahara,3 BHK,1804.0,3.0,120.0,3.0,6651.884700665189
Sarjapur,2 BHK,913.0,2.0,32.0,2.0,3504.9288061336256
Talaghattapura,3 BHK,1868.0,3.0,131.0,3.0,7012.847965738758
Kengeri Satellite Town,2 BHK,883.0,2.0,45.0,2.0,5096.262740656852
Hegde Nagar,3 BHK,2026.0,3.0,132.0,3.0,6515.301085883514
Balagere,2 BHK,1210.0,2.0,80.9,2.0,6685.950413223141
other,4 Bedroom,4111.0,4.0,250.0,4.0,6081.24543906592
Kadugodi,3 BHK,1762.0,3.0,91.45,3.0,5190.124858115778
Gollarapalya Hosahalli,2 BHK,861.0,2.0,34.5,2.0,4006.968641114983
7th Phase JP Nagar,3 BHK,1420.0,2.0,100.0,3.0,7042.2535211267605
Electronics City Phase 1,3 BHK,1490.0,3.0,78.8,3.0,5288.5906040268455
Bisuvanahalli,3 BHK,1075.0,2.0,46.0,3.0,4279.069767441861
Old Madras Road,3 BHK,1425.0,2.0,94.0,3.0,6596.491228070176
Kalena Agrahara,2 BHK,1200.0,2.0,40.0,2.0,3333.333333333333
Kaggadasapura,3 BHK,1280.0,2.0,56.0,3.0,4375.0
Haralur Road,2 BHK,1027.0,2.0,44.0,2.0,4284.323271665044
Electronic City Phase II,2 BHK,1069.0,2.0,45.0,2.0,4209.541627689429
Hebbal,2 BHK,1349.0,2.0,98.2,2.0,7279.466271312083
9th Phase JP Nagar,2 BHK,1005.0,2.0,50.0,2.0,4975.124378109453
Jakkur,2 BHK,1417.0,2.0,75.0,2.0,5292.87226534933
TC Palaya,3 Bedroom,1475.0,3.0,98.0,3.0,6644.067796610169
other,4 BHK,2000.0,4.0,120.0,4.0,6000.0
Singasandra,2 BHK,1010.0,2.0,29.5,2.0,2920.792079207921
Kalena Agrahara,3 BHK,1425.0,2.0,70.0,3.0,4912.2807017543855
Vijayanagar,3 BHK,1450.0,3.0,100.0,3.0,6896.551724137931
Kothanur,3 BHK,1847.0,3.0,105.0,3.0,5684.89442338928
AECS Layout,2 BHK,1100.0,2.0,45.0,2.0,4090.909090909091
Kanakpura Road,1 BHK,525.0,1.0,26.0,1.0,4952.380952380952
Mallasandra,3 BHK,1665.0,3.0,95.0,3.0,5705.705705705705
JP Nagar,3 BHK,1850.0,3.0,150.0,3.0,8108.108108108108
Panathur,2 BHK,1438.0,2.0,100.0,2.0,6954.102920723227
other,3 BHK,1560.0,3.0,115.0,3.0,7371.794871794872
Malleshpalya,2 BHK,1140.0,2.0,46.5,2.0,4078.947368421053
Whitefield,2 BHK,1280.0,2.0,75.0,2.0,5859.375
Munnekollal,2 BHK,1170.0,2.0,52.0,2.0,4444.444444444444
Hennur Road,2 BHK,1385.0,2.0,83.09,2.0,5999.27797833935
Electronic City,2 BHK,1128.0,2.0,65.0,2.0,5762.41134751773
Kaval Byrasandra,2 BHK,1200.0,2.0,52.0,2.0,4333.333333333333
other,3 BHK,1645.0,3.0,95.0,3.0,5775.075987841945
Sarjapur  Road,2 BHK,1000.0,2.0,67.0,2.0,6700.0
Haralur Road,4 Bedroom,2650.0,4.0,198.0,4.0,7471.698113207547
6th Phase JP Nagar,2 BHK,1192.0,2.0,74.0,2.0,6208.053691275168
Ulsoor,3 BHK,2135.0,3.0,215.0,3.0,10070.257611241215
Uttarahalli,2 BHK,1020.0,2.0,45.0,2.0,4411.764705882353
other,2 Bedroom,1200.0,2.0,79.0,2.0,6583.333333333333
Devarachikkanahalli,2 BHK,1250.0,2.0,40.0,2.0,3200.0
Kalena Agrahara,2 BHK,1325.0,2.0,76.0,2.0,5735.8490566037735
7th Phase JP Nagar,3 BHK,1850.0,3.0,150.0,3.0,8108.108108108108
Basaveshwara Nagar,2 BHK,1200.0,2.0,65.0,2.0,5416.666666666667
Bommasandra,3 BHK,1260.0,3.0,49.36,3.0,3917.4603174603176
other,3 BHK,1800.0,3.0,150.0,3.0,8333.333333333334
Ardendale,2 BHK,1100.0,2.0,43.25,2.0,3931.818181818182
Harlur,2 BHK,1508.0,2.0,77.0,2.0,5106.100795755968
Akshaya Nagar,2 BHK,1388.0,2.0,57.0,2.0,4106.628242074928
Electronic City Phase II,1 BHK,630.0,1.0,28.35,1.0,4500.0
other,3 BHK,1762.0,3.0,125.0,3.0,7094.211123723042
other,2 BHK,950.0,2.0,50.0,2.0,5263.1578947368425
Kodihalli,4 BHK,3252.0,5.0,335.0,4.0,10301.353013530135
Magadi Road,2 BHK,1116.0,2.0,50.0,2.0,4480.286738351255
Narayanapura,2 BHK,1308.0,2.0,89.04,2.0,6807.339449541284
other,3 BHK,1200.0,3.0,90.0,3.0,7500.0
Bannerghatta Road,1 BHK,500.0,1.0,18.5,1.0,3700.0
Hennur,2 BHK,1075.0,2.0,52.0,2.0,4837.209302325581
Chandapura,1 BHK,530.0,1.0,11.66,1.0,2200.0
Bellandur,2 BHK,1205.0,2.0,66.0,2.0,5477.178423236514
5th Phase JP Nagar,2 BHK,1075.0,2.0,60.0,2.0,5581.395348837209
KR Puram,2 BHK,930.0,2.0,39.0,2.0,4193.548387096775
Hebbal,4 BHK,2483.0,5.0,212.0,4.0,8538.058799838904
Kodigehaali,2 BHK,1166.0,2.0,55.0,2.0,4716.981132075472
Bannerghatta Road,2 BHK,1050.0,2.0,65.0,2.0,6190.476190476191
Begur Road,2 BHK,1200.0,2.0,46.8,2.0,3900.0
Lakshminarayana Pura,3 BHK,1600.0,2.0,108.0,3.0,6750.0
8th Phase JP Nagar,1 BHK,451.0,1.0,29.9,1.0,6629.711751662971
Electronic City,3 BHK,1800.0,3.0,95.0,3.0,5277.777777777777
Hegde Nagar,3 BHK,1801.0,3.0,115.0,3.0,6385.341476957246
Mahadevpura,2 BHK,1451.0,2.0,90.0,2.0,6202.618883528601
Begur Road,2 BHK,1160.0,2.0,44.0,2.0,3793.103448275862
Vijayanagar,3 BHK,1580.0,2.0,134.0,3.0,8481.012658227848
Vijayanagar,3 BHK,1826.0,3.0,121.0,3.0,6626.506024096386
7th Phase JP Nagar,2 BHK,1245.0,2.0,94.0,2.0,7550.2008032128515
Raja Rajeshwari Nagar,2 BHK,1145.0,2.0,45.79,2.0,3999.126637554585
Sompura,2 BHK,825.0,2.0,33.0,2.0,4000.0
Yeshwanthpur,3 BHK,1693.0,3.0,108.0,3.0,6379.208505611341
Doddathoguru,2 BHK,1050.0,2.0,32.0,2.0,3047.619047619048
Dodda Nekkundi,2 BHK,1260.0,2.0,55.0,2.0,4365.079365079365
Hosur Road,2 BHK,1656.0,2.0,120.0,2.0,7246.376811594203
Chandapura,3 BHK,1208.0,3.0,45.0,3.0,3725.1655629139073
Whitefield,3 BHK,1910.0,3.0,161.0,3.0,8429.319371727748
Whitefield,4 BHK,3252.0,4.0,230.0,4.0,7072.570725707257
Battarahalli,2 Bedroom,1200.0,2.0,65.0,2.0,5416.666666666667
7th Phase JP Nagar,2 BHK,1175.0,2.0,82.0,2.0,6978.723404255319
Kengeri,2 BHK,750.0,2.0,38.0,2.0,5066.666666666667
Billekahalli,2 BHK,1125.0,2.0,62.0,2.0,5511.111111111111
Anandapura,2 Bedroom,1000.0,2.0,55.0,2.0,5500.0
Bommasandra Industrial Area,2 BHK,1090.0,2.0,31.48,2.0,2888.0733944954127
TC Palaya,2 Bedroom,1200.0,2.0,60.0,2.0,5000.0
Budigere,3 BHK,1991.0,4.0,103.0,3.0,5173.279758915118
Bommasandra,2 BHK,1060.0,2.0,26.5,2.0,2500.0
Ambalipura,2 BHK,1105.0,2.0,75.0,2.0,6787.330316742082
Hoodi,2 BHK,985.0,2.0,67.0,2.0,6802.030456852792
CV Raman Nagar,2 BHK,1120.0,2.0,55.0,2.0,4910.714285714285
Marathahalli,3 BHK,1933.0,3.0,140.0,3.0,7242.628039317124
Hosur Road,2 BHK,1194.0,2.0,69.0,2.0,5778.894472361809
Brookefield,2 BHK,1150.0,2.0,69.0,2.0,6000.0
Yelenahalli,2 BHK,1240.0,2.0,47.12,2.0,3800.0
Raja Rajeshwari Nagar,2 BHK,1419.0,2.0,48.1,2.0,3389.711064129669
Dasanapura,2 BHK,708.0,1.0,40.0,2.0,5649.717514124294
Whitefield,4 Bedroom,11890.0,4.0,700.0,4.0,5887.300252312868
Bellandur,2 BHK,1250.0,2.0,76.0,2.0,6080.0
7th Phase JP Nagar,3 BHK,1400.0,2.0,95.0,3.0,6785.714285714285
Ardendale,3 BHK,1750.0,3.0,100.0,3.0,5714.285714285715
Vittasandra,2 BHK,1404.0,2.0,71.0,2.0,5056.980056980057
Electronic City,1 BHK,630.0,1.0,34.65,1.0,5500.0
Harlur,3 BHK,1752.12,3.0,135.0,3.0,7704.951715635916
Raja Rajeshwari Nagar,2 BHK,1295.0,2.0,55.47,2.0,4283.397683397683
Sarjapur  Road,2 BHK,1346.0,2.0,74.03,2.0,5500.0
Hormavu,2 BHK,1150.0,2.0,55.0,2.0,4782.608695652174
other,4 Bedroom,3309.0,4.0,325.0,4.0,9821.698398307646
AECS Layout,3 BHK,1620.0,3.0,98.0,3.0,6049.382716049383
Marathahalli,2 BHK,950.0,2.0,46.96,2.0,4943.1578947368425
Padmanabhanagar,2 BHK,1020.0,2.0,63.0,2.0,6176.470588235294
Chikkalasandra,2 BHK,1100.0,2.0,50.0,2.0,4545.454545454545
Hebbal,3 BHK,1760.0,2.0,130.0,3.0,7386.363636363636
Ambalipura,3 BHK,1800.0,3.0,110.0,3.0,6111.111111111111
Akshaya Nagar,2 BHK,1070.0,2.0,54.0,2.0,5046.728971962617
Vidyaranyapura,2 Bedroom,1440.0,2.0,95.0,2.0,6597.222222222223
Amruthahalli,2 BHK,900.0,2.0,40.0,2.0,4444.444444444444
Kodigehalli,2 BHK,1270.0,2.0,98.0,2.0,7716.535433070866
other,2 BHK,1200.0,2.0,62.0,2.0,5166.666666666667
other,2 BHK,1200.0,2.0,74.0,2.0,6166.666666666667
Subramanyapura,2 BHK,929.0,2.0,50.17,2.0,5400.4305705059205
Chikkalasandra,2 BHK,1208.0,2.0,49.0,2.0,4056.291390728477
Hebbal Kempapura,2 BHK,1130.0,2.0,60.0,2.0,5309.734513274337
other,3 BHK,1753.0,3.0,120.0,3.0,6845.407872219053
Hoodi,2 BHK,1196.0,2.0,94.42,2.0,7894.648829431439
5th Phase JP Nagar,2 BHK,1150.0,3.0,52.5,2.0,4565.217391304348
Electronic City,2 BHK,1128.0,2.0,63.0,2.0,5585.106382978724
other,2 BHK,1000.0,2.0,53.0,2.0,5300.0
Kereguddadahalli,2 BHK,950.0,2.0,32.0,2.0,3368.4210526315787
other,2 Bedroom,720.0,2.0,45.0,2.0,6250.0
Lingadheeranahalli,3 BHK,1511.0,3.0,95.0,3.0,6287.22700198544
Shampura,1 BHK,375.0,2.0,26.0,1.0,6933.333333333333
Vidyaranyapura,2 BHK,1062.0,2.0,38.0,2.0,3578.154425612053
JP Nagar,2 BHK,1000.0,2.0,35.0,2.0,3500.0
Kambipura,2 BHK,883.0,2.0,45.0,2.0,5096.262740656852
Sarjapur  Road,2 BHK,1195.0,2.0,70.0,2.0,5857.740585774059
other,1 Bedroom,700.0,1.0,41.0,1.0,5857.142857142857
Vittasandra,2 BHK,1246.0,2.0,67.0,2.0,5377.2070626003215
Begur Road,3 BHK,1584.0,3.0,65.0,3.0,4103.535353535353
Sector 7 HSR Layout,4 Bedroom,3000.0,5.0,275.0,4.0,9166.666666666666
other,3 BHK,1595.0,3.0,115.0,3.0,7210.031347962383
other,2 BHK,1353.0,2.0,110.0,2.0,8130.081300813008
Electronic City,3 BHK,1599.0,3.0,125.0,3.0,7817.385866166354
Whitefield,2 BHK,1150.0,2.0,70.0,2.0,6086.95652173913
KR Puram,2 BHK,1155.0,2.0,42.74,2.0,3700.4329004329006
other,1 BHK,1200.0,2.0,85.0,1.0,7083.333333333333
Electronic City Phase II,2 BHK,1000.0,2.0,25.0,2.0,2500.0
Rajiv Nagar,3 BHK,1867.0,3.0,160.0,3.0,8569.89823245849
Ramagondanahalli,2 BHK,1251.0,2.0,47.0,2.0,3756.994404476419
Arekere,2 BHK,1222.0,2.0,45.0,2.0,3682.4877250409168
Bannerghatta Road,3 BHK,1170.0,2.0,66.0,3.0,5641.025641025641
Hebbal,3 BHK,2400.0,4.0,245.0,3.0,10208.333333333334
HSR Layout,2 BHK,1372.0,2.0,68.0,2.0,4956.268221574344
Mico Layout,9 BHK,5000.0,9.0,210.0,9.0,4200.0
Whitefield,3 BHK,1768.0,3.0,101.0,3.0,5712.669683257918
other,3 BHK,1325.0,2.0,90.0,3.0,6792.452830188679
Electronic City,3 BHK,1599.0,3.0,99.0,3.0,6191.369606003753
Uttarahalli,2 BHK,1286.0,2.0,63.0,2.0,4898.91135303266
Kammanahalli,5 BHK,2845.0,5.0,140.0,5.0,4920.91388400703
Hennur Road,2 BHK,1317.5,2.0,63.77,2.0,4840.22770398482
Munnekollal,2 BHK,1102.0,2.0,53.67,2.0,4870.235934664247
Chikkabanavar,2 BHK,950.0,2.0,40.0,2.0,4210.526315789473
Kanakpura Road,1 BHK,525.0,1.0,27.25,1.0,5190.476190476191
Attibele,2 BHK,656.0,2.0,25.0,2.0,3810.9756097560976
Marathahalli,4 Bedroom,1780.0,4.0,175.0,4.0,9831.460674157302
other,2 BHK,1056.0,2.0,80.0,2.0,7575.757575757576
Bannerghatta Road,1 BHK,595.0,1.0,33.32,1.0,5600.0
7th Phase JP Nagar,3 BHK,2225.0,3.0,160.0,3.0,7191.011235955056
Bommasandra,2 BHK,1126.0,2.0,28.15,2.0,2500.0
Electronics City Phase 1,3 BHK,1490.0,3.0,84.0,3.0,5637.583892617449
Sarjapur  Road,3 BHK,1550.0,3.0,100.0,3.0,6451.612903225807
Whitefield,3 BHK,1600.0,3.0,86.0,3.0,5375.0
Whitefield,4 Bedroom,4144.0,4.0,315.0,4.0,7601.351351351352
Sarjapur  Road,3 BHK,2100.0,3.0,125.0,3.0,5952.380952380952
Vittasandra,2 BHK,1404.0,2.0,69.3,2.0,4935.897435897436
Sarjapur  Road,4 Bedroom,2230.0,4.0,225.0,4.0,10089.686098654707
other,3 BHK,1544.0,3.0,120.0,3.0,7772.020725388601
Banashankari Stage III,3 BHK,1305.0,2.0,58.7,3.0,4498.08429118774
Marathahalli,2 BHK,1230.0,2.0,80.0,2.0,6504.065040650406
other,2 Bedroom,1200.0,2.0,65.0,2.0,5416.666666666667
Gottigere,2 BHK,967.0,2.0,45.0,2.0,4653.567735263702
other,1 Bedroom,540.0,1.0,36.0,1.0,6666.666666666667
Hormavu,1 BHK,715.0,1.0,46.0,1.0,6433.566433566433
Mysore Road,2 BHK,1020.0,2.0,48.95,2.0,4799.019607843137
Jigani,2 BHK,1020.0,2.0,40.0,2.0,3921.56862745098
Koramangala,2 BHK,1253.0,2.0,102.0,2.0,8140.462889066241
Nehru Nagar,2 BHK,961.0,2.0,38.0,2.0,3954.214360041624
Kanakapura,3 BHK,1419.0,3.0,75.0,3.0,5285.412262156448
Harlur,3 BHK,1709.0,3.0,150.0,3.0,8777.062609713283
other,2 Bedroom,1600.0,2.0,115.0,2.0,7187.5
other,1 BHK,416.0,1.0,18.5,1.0,4447.115384615385
Sanjay nagar,2 BHK,1100.0,2.0,98.0,2.0,8909.09090909091
other,3 BHK,1630.0,3.0,85.0,3.0,5214.7239263803685
Kalena Agrahara,3 BHK,1450.0,2.0,85.0,3.0,5862.068965517241
Konanakunte,3 BHK,2791.0,3.0,223.0,3.0,7989.967753493372
