location,total_sqft,bath,price,BHK,price_per_sqft
other,3045.0,3.0,170.0,3,5582.922824302134
Ambedkar Nagar,2900.0,3.0,300.0,4,10344.827586206897
Raja Rajeshwari Nagar,1295.0,2.0,43.9,2,3389.96138996139
Budigere,1162.0,2.0,59.9,2,5154.905335628228
Kalena Agrahara,1804.0,3.0,120.0,3,6651.884700665189
Sarjapur,913.0,2.0,32.0,2,3504.9288061336256
Talaghattapura,1868.0,3.0,131.0,3,7012.847965738758
Kengeri Satellite Town,883.0,2.0,45.0,2,5096.262740656852
Hegde Nagar,2026.0,3.0,132.0,3,6515.301085883514
Balagere,1210.0,2.0,80.9,2,6685.950413223141
other,4111.0,4.0,250.0,4,6081.24543906592
Kadugodi,1762.0,3.0,91.45,3,5190.124858115778
Gollarapalya Hosahalli,861.0,2.0,34.5,2,4006.968641114983
7th Phase JP Nagar,1420.0,2.0,100.0,3,7042.2535211267605
Electronics City Phase 1,1490.0,3.0,78.8,3,5288.5906040268455
Bisuvanahalli,1075.0,2.0,46.0,3,4279.069767441861
Old Madras Road,1425.0,2.0,94.0,3,6596.491228070176
Kalena Agrahara,1200.0,2.0,40.0,2,3333.333333333333
Kaggadasapura,1280.0,2.0,56.0,3,4375.0
Haralur Road,1027.0,2.0,44.0,2,4284.323271665044
Electronic City Phase II,1069.0,2.0,45.0,2,4209.541627689429
Hebbal,1349.0,2.0,98.2,2,7279.466271312083
9th Phase JP Nagar,1005.0,2.0,50.0,2,4975.124378109453
Jakkur,1417.0,2.0,75.0,2,5292.87226534933
TC Palaya,1475.0,3.0,98.0,3,6644.067796610169
other,2000.0,4.0,120.0,4,6000.0
Singasandra,1010.0,2.0,29.5,2,2920.792079207921
Kalena Agrahara,1425.0,2.0,70.0,3,4912.2807017543855
Vijayanagar,1450.0,3.0,100.0,3,6896.551724137931
Kothanur,1847.0,3.0,105.0,3,5684.89442338928
AECS Layout,1100.0,2.0,45.0,2,4090.909090909091
Kanakpura Road,525.0,1.0,26.0,1,4952.380952380952
Mallasandra,1665.0,3.0,95.0,3,5705.705705705705
JP Nagar,1850.0,3.0,150.0,3,8108.108108108108
Panathur,1438.0,2.0,100.0,2,6954.102920723227
other,1560.0,3.0,115.0,3,7371.794871794872
Malleshpalya,1140.0,2.0,46.5,2,4078.947368421053
Whitefield,1280.0,2.0,75.0,2,5859.375
Munnekollal,1170.0,2.0,52.0,2,4444.444444444444
Hennur Road,1385.0,2.0,83.09,2,5999.27797833935
Electronic City,1128.0,2.0,65.0,2,5762.41134751773
Marathahalli,1200.0,2.0,128.0,2,10666.666666666666
Kaval Byrasandra,1200.0,2.0,52.0,2,4333.333333333333
other,1645.0,3.0,95.0,3,5775.075987841945
Sarjapur  Road,1000.0,2.0,67.0,2,6700.0
Haralur Road,2650.0,4.0,198.0,4,7471.698113207547
6th Phase JP Nagar,1192.0,2.0,74.0,2,6208.053691275168
Ulsoor,2135.0,3.0,215.0,3,10070.257611241215
Uttarahalli,1020.0,2.0,45.0,2,4411.764705882353
other,1200.0,2.0,79.0,2,6583.333333333333
 Devarachikkanahalli,1250.0,2.0,40.0,2,3200.0
Kalena Agrahara,1325.0,2.0,76.0,2,5735.8490566037735
7th Phase JP Nagar,1850.0,3.0,150.0,3,8108.108108108108
Basaveshwara Nagar,1200.0,2.0,65.0,2,5416.666666666667
other,1350.0,2.0,140.0,3,10370.37037037037
Bommasandra,1260.0,3.0,49.36,3,3917.4603174603176
other,1800.0,3.0,150.0,3,8333.333333333334
Ardendale,1100.0,2.0,43.25,2,3931.818181818182
Harlur,1508.0,2.0,77.0,2,5106.100795755968
Akshaya Nagar,1388.0,2.0,57.0,2,4106.628242074928
Electronic City Phase II,630.0,1.0,28.35,1,4500.0
other,1762.0,3.0,125.0,3,7094.211123723042
other,950.0,2.0,50.0,2,5263.1578947368425
Kodihalli,3252.0,5.0,335.0,4,10301.353013530135
Magadi Road,1116.0,2.0,50.0,2,4480.286738351255
Narayanapura,1308.0,2.0,89.04,2,6807.339449541284
other,1200.0,3.0,90.0,3,7500.0
Bannerghatta Road,500.0,1.0,18.5,1,3700.0
Hennur,1075.0,2.0,52.0,2,4837.209302325581
Chandapura,530.0,1.0,11.66,1,2200.0
Bellandur,1205.0,2.0,66.0,2,5477.178423236514
5th Phase JP Nagar,1075.0,2.0,60.0,2,5581.395348837209
KR Puram,930.0,2.0,39.0,2,4193.548387096775
Hebbal,2483.0,5.0,212.0,4,8538.058799838904
Kodigehaali,1166.0,2.0,55.0,2,4716.981132075472
Bannerghatta Road,1050.0,2.0,65.0,2,6190.476190476191
Begur Road,1200.0,2.0,46.8,2,3900.0
Lakshminarayana Pura,1600.0,2.0,108.0,3,6750.0
8th Phase JP Nagar,451.0,1.0,29.9,1,6629.711751662971
Electronic City,1800.0,3.0,95.0,3,5277.777777777777
Hegde Nagar,1801.0,3.0,115.0,3,6385.341476957246
Mahadevpura,1451.0,2.0,90.0,2,6202.618883528601
Anekal,1200.0,1.0,36.0,2,3000.0
Begur Road,1160.0,2.0,44.0,2,3793.103448275862
Vijayanagar,1580.0,2.0,134.0,3,8481.012658227848
Vijayanagar,1826.0,3.0,121.0,3,6626.506024096386
7th Phase JP Nagar,1245.0,2.0,94.0,2,7550.2008032128515
Raja Rajeshwari Nagar,1145.0,2.0,45.79,2,3999.126637554585
Sompura,825.0,2.0,33.0,2,4000.0
Doddathoguru,1050.0,2.0,32.0,2,3047.619047619048
Dodda Nekkundi,1260.0,2.0,55.0,2,4365.079365079365
Hosur Road,1656.0,2.0,120.0,2,7246.376811594203
Chandapura,1208.0,3.0,45.0,3,3725.1655629139073
Whitefield,1910.0,3.0,161.0,3,8429.319371727748
Whitefield,3252.0,4.0,230.0,4,7072.570725707257
Battarahalli,1200.0,2.0,65.0,2,5416.666666666667
7th Phase JP Nagar,1175.0,2.0,82.0,2,6978.723404255319
Bannerghatta Road,1200.0,2.0,125.0,4,10416.666666666666
Kengeri,750.0,2.0,38.0,2,5066.666666666667
Billekahalli,1125.0,2.0,62.0,2,5511.111111111111
Anandapura,1000.0,2.0,55.0,2,5500.0
Bommasandra Industrial Area,1090.0,2.0,31.48,2,2888.0733944954127
TC Palaya,1200.0,2.0,60.0,2,5000.0
Budigere,1991.0,4.0,103.0,3,5173.279758915118
Bommasandra,1060.0,2.0,26.5,2,2500.0
Ambalipura,1105.0,2.0,75.0,2,6787.330316742082
Hoodi,985.0,2.0,67.0,2,6802.030456852792
Chandapura,1533.0,5.0,85.0,6,5544.683626875408
CV Raman Nagar,1120.0,2.0,55.0,2,4910.714285714285
other,1069.0,2.0,55.0,2,5144.9953227315245
Marathahalli,1933.0,3.0,140.0,3,7242.628039317124
Hosur Road,1194.0,2.0,69.0,2,5778.894472361809
Brookefield,1150.0,2.0,69.0,2,6000.0
Yelenahalli,1240.0,2.0,47.12,2,3800.0
Raja Rajeshwari Nagar,1419.0,2.0,48.1,2,3389.711064129669
Dasanapura,708.0,1.0,40.0,2,5649.717514124294
Kasavanhalli,1000.0,4.0,110.0,3,11000.0
Whitefield,11890.0,4.0,700.0,4,5887.300252312868
Bellandur,1250.0,2.0,76.0,2,6080.0
7th Phase JP Nagar,1400.0,2.0,95.0,3,6785.714285714285
Ardendale,1750.0,3.0,100.0,3,5714.285714285715
Vittasandra,1404.0,2.0,71.0,2,5056.980056980057
Electronic City,630.0,1.0,34.65,1,5500.0
Harlur,1752.12,3.0,135.0,3,7704.951715635916
Raja Rajeshwari Nagar,1295.0,2.0,55.47,2,4283.397683397683
Sarjapur  Road,1346.0,2.0,74.03,2,5500.0
Hormavu,1150.0,2.0,55.0,2,4782.608695652174
other,3309.0,4.0,325.0,4,9821.698398307646
AECS Layout,1620.0,3.0,98.0,3,6049.382716049383
Marathahalli,950.0,2.0,46.96,2,4943.1578947368425
Padmanabhanagar,1020.0,2.0,63.0,2,6176.470588235294
Chikkalasandra,1100.0,2.0,50.0,2,4545.454545454545
other,1150.0,2.0,126.0,2,10956.521739130434
Hebbal,1760.0,2.0,130.0,3,7386.363636363636
Ambalipura,1800.0,3.0,110.0,3,6111.111111111111
Akshaya Nagar,1070.0,2.0,54.0,2,5046.728971962617
Vidyaranyapura,1440.0,2.0,95.0,2,6597.222222222223
Amruthahalli,900.0,2.0,40.0,2,4444.444444444444
Kodigehalli,1270.0,2.0,98.0,2,7716.535433070866
other,1200.0,2.0,62.0,2,5166.666666666667
other,1200.0,2.0,74.0,2,6166.666666666667
Subramanyapura,929.0,2.0,50.17,2,5400.4305705059205
Chikkalasandra,1208.0,2.0,49.0,2,4056.291390728477
Hebbal Kempapura,1130.0,2.0,60.0,2,5309.734513274337
other,1753.0,3.0,120.0,3,6845.407872219053
Hoodi,1196.0,2.0,94.42,2,7894.648829431439
5th Phase JP Nagar,1150.0,3.0,52.5,2,4565.217391304348
Electronic City,1128.0,2.0,63.0,2,5585.106382978724
other,1000.0,2.0,53.0,2,5300.0
Kereguddadahalli,950.0,2.0,32.0,2,3368.4210526315787
other,720.0,2.0,45.0,2,6250.0
Lingadheeranahalli,1511.0,3.0,95.0,3,6287.22700198544
Shampura,375.0,2.0,26.0,1,6933.333333333333
Vidyaranyapura,1062.0,2.0,38.0,2,3578.154425612053
JP Nagar,1000.0,2.0,35.0,2,3500.0
Kambipura,883.0,2.0,45.0,2,5096.262740656852
Sarjapur  Road,1195.0,2.0,70.0,2,5857.740585774059
other,700.0,1.0,41.0,1,5857.142857142857
Vittasandra,1246.0,2.0,67.0,2,5377.2070626003215
Begur Road,1584.0,3.0,65.0,3,4103.535353535353
Sector 7 HSR Layout,3000.0,5.0,275.0,4,9166.666666666666
other,1595.0,3.0,115.0,3,7210.031347962383
other,1353.0,2.0,110.0,2,8130.081300813008
Electronic City,1599.0,3.0,125.0,3,7817.385866166354
Whitefield,1150.0,2.0,70.0,2,6086.95652173913
KR Puram,1155.0,2.0,42.74,2,3700.4329004329006
other,1200.0,2.0,85.0,1,7083.333333333333
Electronic City Phase II,1000.0,2.0,25.0,2,2500.0
Rajiv Nagar,1867.0,3.0,160.0,3,8569.89823245849
Ramagondanahalli,1251.0,2.0,47.0,2,3756.994404476419
Arekere,1222.0,2.0,45.0,2,3682.4877250409168
Bannerghatta Road,1170.0,2.0,66.0,3,5641.025641025641
Hebbal,2400.0,4.0,245.0,3,10208.333333333334
HSR Layout,1372.0,2.0,68.0,2,4956.268221574344
Whitefield,1768.0,3.0,101.0,3,5712.669683257918
other,1325.0,2.0,90.0,3,6792.452830188679
Electronic City,1599.0,3.0,99.0,3,6191.369606003753
Uttarahalli,1286.0,2.0,63.0,2,4898.91135303266
Kammanahalli,2845.0,5.0,140.0,5,4920.91388400703
Hennur Road,1317.5,2.0,63.77,2,4840.22770398482
Munnekollal,1102.0,2.0,53.67,2,4870.235934664247
Chikkabanavar,950.0,2.0,40.0,2,4210.526315789473
Kanakpura Road,525.0,1.0,27.25,1,5190.476190476191
Attibele,656.0,2.0,25.0,2,3810.9756097560976
Marathahalli,1780.0,4.0,175.0,4,9831.460674157302
other,1056.0,2.0,80.0,2,7575.757575757576
Bannerghatta Road,595.0,1.0,33.32,1,5600.0
7th Phase JP Nagar,2225.0,3.0,160.0,3,7191.011235955056
Bommasandra,1126.0,2.0,28.15,2,2500.0
Electronics City Phase 1,1490.0,3.0,84.0,3,5637.583892617449
Sarjapur  Road,1550.0,3.0,100.0,3,6451.612903225807
Whitefield,1600.0,3.0,86.0,3,5375.0
Whitefield,4144.0,4.0,315.0,4,7601.351351351352
Sarjapur  Road,2100.0,3.0,125.0,3,5952.380952380952
Vittasandra,1404.0,2.0,69.3,2,4935.897435897436
Sarjapur  Road,2230.0,4.0,225.0,4,10089.686098654707
other,1544.0,3.0,120.0,3,7772.020725388601
Banashankari Stage III,1305.0,2.0,58.7,3,4498.08429118774
Marathahalli,1230.0,2.0,80.0,2,6504.065040650406
other,1200.0,2.0,65.0,2,5416.666666666667
Gottigere,967.0,2.0,45.0,2,4653.567735263702
other,540.0,1.0,36.0,1,6666.666666666667
Hormavu,715.0,1.0,46.0,1,6433.566433566433
Mysore Road,1020.0,2.0,48.95,2,4799.019607843137
Jigani,1020.0,2.0,40.0,2,3921.56862745098
Koramangala,1253.0,2.0,102.0,2,8140.462889066241
Nehru Nagar,961.0,2.0,38.0,2,3954.214360041624
Kanakapura,1419.0,3.0,75.0,3,5285.412262156448
Harlur,1709.0,3.0,150.0,3,8777.062609713283
other,1600.0,2.0,115.0,2,7187.5
other,416.0,1.0,18.5,1,4447.115384615385
Sanjay nagar,1100.0,2.0,98.0,2,8909.09090909091
other,1630.0,3.0,85.0,3,5214.7239263803685
Kalena Agrahara,1450.0,2.0,85.0,3,5862.068965517241
Konanakunte,2791.0,3.0,223.0,3,7989.967753493372
other,834.0,1.0,60.0,1,7194.244604316546
other,1125.0,4.0,70.0,3,6222.222222222223
Arekere,2060.0,3.0,140.0,3,6796.116504854369
Gottigere,891.0,2.0,25.0,2,2805.8361391694725
Raja Rajeshwari Nagar,1133.0,2.0,49.07,2,4330.979699911739
other,3000.0,5.0,260.0,4,8666.666666666666
Vidyaranyapura,1200.0,2.0,55.0,2,4583.333333333333
Kaggadasapura,1140.0,2.0,40.0,2,3508.771929824561
Raja Rajeshwari Nagar,1090.0,2.0,42.0,2,3853.211009174312
Whitefield,4104.0,4.0,360.0,4,8771.929824561403
Whitefield,1790.0,3.0,100.0,3,5586.592178770949
Hebbal,1920.0,3.0,134.0,3,6979.166666666667
HRBR Layout,1374.0,2.0,95.0,2,6914.119359534207
Bannerghatta Road,1445.0,3.0,95.0,3,6574.39446366782
Kanakapura,711.0,1.0,36.0,1,5063.291139240507
Tumkur Road,1500.0,3.0,95.0,3,6333.333333333333
Whitefield,1720.0,3.0,100.0,3,5813.953488372093
Vasanthapura,1400.0,3.0,60.0,3,4285.714285714285
Kundalahalli,1030.0,2.0,49.0,2,4757.281553398058
Mysore Road,1200.0,2.0,85.0,2,7083.333333333333
other,1375.0,3.0,70.0,3,5090.909090909091
Hegde Nagar,1050.0,1.0,56.0,2,5333.333333333333
Jalahalli,2250.0,3.0,160.0,3,7111.111111111111
Bellandur,1000.0,2.0,50.0,2,5000.0
other,469.0,1.0,25.0,1,5330.490405117271
Marathahalli,3800.0,4.0,250.0,4,6578.9473684210525
Kambipura,883.0,2.0,29.0,2,3284.2582106455266
GM Palaya,1820.0,2.0,86.0,3,4725.274725274725
Singasandra,1440.0,2.0,65.0,3,4513.888888888889
Mahadevpura,1225.0,2.0,48.0,2,3918.367346938776
Chikkalasandra,875.0,2.0,52.8,2,6034.285714285715
Jalahalli East,750.0,1.0,40.0,1,5333.333333333333
6th Phase JP Nagar,1180.0,2.0,80.0,2,6779.661016949152
Haralur Road,1194.0,2.0,47.0,2,3936.348408710218
Hosakerehalli,2378.0,3.0,262.0,3,11017.66190075694
Sarjapur,1128.0,2.0,60.0,2,5319.148936170212
Hebbal,1500.0,3.0,150.0,3,10000.0
Bommasandra,1200.0,3.0,46.0,3,3833.3333333333335
Haralur Road,3385.0,5.0,260.0,4,7680.945347119646
Horamavu Agara,1200.0,2.0,45.0,2,3750.0
Raja Rajeshwari Nagar,1260.0,2.0,67.39,2,5348.412698412699
Bisuvanahalli,1075.0,2.0,45.0,3,4186.046511627907
Thanisandra,1702.0,3.0,130.0,3,7638.07285546416
Raja Rajeshwari Nagar,1141.0,2.0,38.55,2,3378.615249780893
other,2072.0,3.0,108.0,3,5212.355212355213
other,1200.0,2.0,70.0,3,5833.333333333333
other,1350.0,3.0,77.0,3,5703.703703703704
other,4046.0,4.0,445.0,4,10998.517053880376
other,1180.0,2.0,78.34,3,6638.983050847458
other,1355.0,2.0,115.0,2,8487.084870848708
other,600.0,1.0,50.0,1,8333.333333333334
Bannerghatta Road,1640.0,2.0,120.0,3,7317.073170731707
other,1200.0,5.0,100.0,5,8333.333333333334
Kodichikkanahalli,1190.0,2.0,57.0,3,4789.915966386555
Marathahalli,1019.0,2.0,49.85,2,4892.051030421982
other,1875.0,3.0,165.0,3,8800.0
Lingadheeranahalli,1683.0,3.0,109.0,3,6476.5300059417705
Kaggadasapura,1515.0,3.0,83.3,3,5498.349834983498
Varthur Road,1083.0,2.0,61.75,2,5701.754385964912
other,600.0,2.0,55.0,2,9166.666666666666
other,2300.0,3.0,120.0,3,5217.391304347826
other,1750.0,3.0,120.0,3,6857.142857142857
Anjanapura,1500.0,3.0,139.0,3,9266.666666666666
Abbigere,985.0,2.0,40.39,2,4100.507614213198
Tindlu,1500.0,2.0,87.0,3,5800.0
other,1092.0,2.0,98.5,3,9020.14652014652
Electronic City Phase II,1090.0,2.0,28.34,2,2600.0
Hennur Road,2264.0,3.0,159.0,3,7022.968197879859
Kammasandra,810.0,2.0,24.5,2,3024.6913580246915
Hebbal,1337.0,2.0,82.0,2,6133.1338818249815
Chandapura,1200.0,2.0,32.0,2,2666.6666666666665
Koramangala,1580.0,3.0,160.0,3,10126.582278481012
Whitefield,1640.0,4.0,91.0,3,5548.780487804878
Gubbalala,1470.0,2.0,82.0,3,5578.231292517007
7th Phase JP Nagar,1050.0,2.0,71.0,2,6761.9047619047615
Bannerghatta Road,1460.0,2.0,90.0,3,6164.383561643836
Hulimavu,1823.0,3.0,100.0,3,5485.463521667581
Parappana Agrahara,1200.0,3.0,85.0,4,7083.333333333333
Jakkur,1590.0,2.0,125.0,3,7861.635220125786
Haralur Road,1202.0,2.0,53.0,2,4409.317803660566
other,1200.0,2.0,62.5,2,5208.333333333333
Panathur,1688.0,3.0,118.0,3,6990.521327014218
Kaval Byrasandra,1020.0,2.0,52.0,2,5098.0392156862745
Sarjapur,1185.0,2.0,47.0,2,3966.244725738397
Ramagondanahalli,1235.0,2.0,52.04,2,4213.765182186235
Banashankari,1077.0,2.0,37.64,2,3494.8932219127205
Kengeri Satellite Town,1415.0,2.0,66.0,3,4664.310954063604
EPIP Zone,2330.0,3.0,162.0,3,6952.789699570815
other,425.0,1.0,20.03,1,4712.941176470588
Anekal,656.0,2.0,22.0,2,3353.6585365853657
Mahadevpura,1150.0,2.0,52.0,2,4521.739130434783
other,600.0,1.0,60.0,1,10000.0
other,1468.0,2.0,140.0,2,9536.784741144416
Whitefield,2280.0,4.0,126.0,3,5526.315789473684
Hegde Nagar,1341.0,2.0,97.0,2,7233.407904548844
Jakkur,1279.0,2.0,77.0,2,6020.3283815480845
Electronic City Phase II,2225.0,4.0,98.88,4,4444.044943820225
Kudlu,1152.0,2.0,53.5,2,4644.097222222223
Hulimavu,1300.0,2.0,36.0,2,2769.230769230769
